轮次,题目,选项A,选项B,选项C,选项D,答案
1,"根据HJ 613-2011标准，测定土壤干物质和水分时，常规的烘干温度是多少？","100℃","(105±5)℃","110℃","(100±5)℃",B
2,"HJ 613-2011标准中规定的分析天平精度至少应为多少？","0.1g","0.001g","0.01g","1g",C
3,"根据HJ 613-2011，风干土壤试样制备时，应过多少孔径的筛？","1mm","2mm","0.25mm","5mm",B
4,"“恒重”是指样品烘干后，再以多少时间间隔烘干并冷却称重，前后差值不超过0.1%？","1h","2h","4h","6h",C
5,"测定风干土壤试样时，建议称取的样品量为多少？","5~10g","10~15g","20~30g","30~40g",B
6,"测定新鲜土壤试样时，建议称取的样品量为多少？","10~20g","20~30g","30~40g","50g以上",C
7,"对于有机质含量≥10%的土壤样品（如泥炭土），干燥温度应改为多少？","40℃","50℃","60℃","80℃",B
8,"土壤样品烘干后，应置于干燥器中冷却至少多少分钟后称重？","15 min","30 min","45 min","60 min",C
9,"根据HJ 613-2011，土壤水分含量是基于什么质量计算的？","湿土质量","风干土质量","干物质质量","取样总质量",C
10,"测定风干土壤样品，当干物质含量≥96%时，两次测定结果之差的绝对值应满足什么要求？","≤0.1%","≤0.2%","≤0.5%","≤1.0%",B
11,"测定新鲜土壤样品，当水分含量≤30%时，两次测定结果之差的绝对值应满足什么要求？","≤0.5%","≤1.0%","≤1.5%","≤2.0%",C
12,"实验中使用的干燥器内应装有什么物质？","无水氯化钙","浓硫酸","无水变色硅胶","活性炭",C
13,"在制备风干土壤试样时，环境温度不应超过多少？","25℃","30℃","35℃","40℃",D
14,"测定前，具盖容器和盖子需要在(105±5)℃下烘干多长时间？","0.5h","1h","2h","4h",B
15,"如果样品中含有下列哪种物质，本方法不能准确测定其水分含量？","沙砾","粘土矿物","挥发性有机物质","碳酸钙",C
16,"一般情况下，大部分土壤的干燥时间约为多少？","4~8h","8~12h","12~16h","16~24h",D
17,"关于土壤中石膏的处理，下列说法正确的是？","石膏在105℃干燥时性质稳定","石膏在105℃干燥时会损失结晶水","必须先剔除石膏","石膏不影响水分测定",B
18,"关于土壤水分含量的计算结果，下列说法正确的是？","不可能超过100%","最大为100%","可能超过100%","恒小于100%",C
19,"测定新鲜土壤时，如果水分含量≥30%，两次测定结果的相对偏差应控制在多少以内？","1%","2%","5%","10%",C
20,"制备新鲜土壤试样时，应去除直径大于多少的石块和树枝？","1mm","2mm","5mm","10mm",B
